StopCode,StopName,Country,StopLat,StopLng
HDR,Den Helder,NL,52.955276489258,4.7611112594605
HDRZ,Den Helder Zuid,NL,52.932498931885,4.7641668319702
DN,Deurne,NL,51.455833435059,5.7888889312744
DV,Deventer,NL,52.257499694824,6.1605553627014
DVC,Deventer Colmschate,NL,52.2502784729,6.2144446372986
DID,Didam,NL,51.933502,6.1324106
DMN,Diemen,NL,52.34515,4.967566
DMNZ,Diemen Zuid,NL,52.330276489258,4.9558334350586
GDP,Diepenbeek,B,50.910278,5.419722
DR,Dieren,NL,52.044998168945,6.1030554771423
DTC,Doetinchem,NL,51.9585962,6.2962148
DTCH,Doetinchem De Huet,NL,51.9591413,6.2598521
DDR,Dordrecht,NL,51.807220458984,4.668333530426
DDRS,Dordrecht Stadspolders,NL,51.801944732666,4.7166666984558
DDZD,Dordrecht Zuid,NL,51.790000915527,4.6713891029358
EDD,Dortmund Derne,D,51.56754,7.52855
EDO,Dortmund Hbf,D,51.517896,7.45929
EDKD,Dortmund Kirchderne,D,51.547076,7.510099
DB,Driebergen-Zeist,NL,52.065277099609,5.25861120224
DRH,Driehuis,NL,52.442501068115,4.6380553245544
DRP,Dronryp,NL,53.1778086,5.6347411
DRON,Dronten,NL,52.5344,5.72089
DUISB,Duisburg Hbf,D,51.429778571332,6.7759037017822
DVN,Duiven,NL,51.943332672119,6.0147223472595
DVD,Duivendrecht,NL,52.323333740234,4.9363889694214
KDUL,Dülken,D,51.257149,6.33793
EDULH,Dülmen,D,51.827927,7.295756
KDFFH,Düsseldorf Flughafen,D,51.292009,6.786836
DUSSEL,Düsseldorf Hbf,D,51.220146,6.793137
EC,Echt,NL,51.100555419922,5.8788890838623
EDC,Ede Centrum,NL,52.043609619141,5.668333530426
ED,Ede-Wageningen,NL,52.027778625488,5.6730556488037
EEM,Eemshaven,NL,53.458419,6.832
EDN,Eijsden,NL,50.771945953369,5.710000038147
EHV,Eindhoven Centraal,NL,51.443332672119,5.4813890457153
EHS,Eindhoven Strijp-S,NL,51.451110839844,5.4558334350586
LKR,Ekeren,B,51.2816099,4.4341227
EST,Elst,NL,51.916942596435,5.8550000190735
EMN,Emmen,NL,52.790000915527,6.8994445800781
EMNZ,Emmen Zuid,NL,52.748866374691,6.8747806549072
EM,Emmerich,D,51.834283,6.255718
EL,Emmerich-Elten,D,51.8743,6.15417
EKZ,Enkhuizen,NL,52.699165344238,5.286388874054
EENP,Ennepetal,D,51.304892,7.343285
ES,Enschede,NL,52.222499847412,6.8899998664856
ESE,Enschede De Eschmarke,NL,52.221389770508,6.9511113166809
ESK,Enschede Kennispark,NL,52.23749923706,6.8388891220093
EEPE,Epe (Westf),D,52.18346,7.03009
EML,Ermelo,NL,52.301666259766,5.6147222518921
ESN,Essen,B,51.46261,4.45129
ETN,Etten-Leur,NL,51.57500076294,4.6358332633972
EGH,Eygelshoven,NL,50.890556335449,6.0450000762939
EGHM,Eygelshoven Markt,NL,50.896049819644,6.0602474212646
FWD,Feanwâlden,NL,53.2351834,5.9886615
LIVOR,Firenze Campo di Marte,I,43.776667,11.276667
FN,Franeker,NL,53.1824488,5.5483094
FFFM,Frankfurt (M) Hbf,D,50.1071222,8.6638338
FFS,Frankfurt (Main) Süd,D,50.099444,8.686389
FNAF,Frankfurt Flughafen Fernb,D,50.053171029929,8.570237159729
RF,Freiburg (Breisgau) Hbf,D,47.99789,7.84134
GDR,Gaanderen,NL,51.93074,6.3486
GDM,Geldermalsen,NL,51.88301,5.27127
GP,Geldrop,NL,51.419723510742,5.5505557060242
GLN,Geleen Oost,NL,50.966945648193,5.8430557250977
LUT,Geleen-Lutterade,NL,50.975555419922,5.8247222900391
FGSP,Gent Sint Pieters,B,51.0361744,3.7108469
GZ,Gilze-Rijen,NL,51.583610534668,4.9261112213135
GBR,Glanerbrug,NL,52.218612670898,6.9744443893433
LGL,Glons,B,50.750277,5.535278
GS,Goes,NL,51.498054504395,3.8905556201935
GO,Goor,NL,52.230278015137,6.5844445228577
TGO,Göppingen,D,48.700191,9.651685
GR,Gorinchem,NL,51.833889007568,4.9683332443237
HOJE,Göteborg Central,S,57.708889,11.973333
GD,Gouda,NL,52.017501831055,4.7044444084167
GDG,Gouda Goverwelle,NL,52.014999389648,4.7408332824707
GBG,Gramsbergen,NL,52.60916519165,6.6758332252502
GK,Grijpskerk,NL,53.255740325573,6.3097786903381
G,Gronau (Westf.),D,52.21521,7.022109
GN,Groningen,NL,53.210556030273,6.5647220611572
GERP,Groningen Europapark,NL,53.20480027,6.5854178
GNN,Groningen Noord,NL,53.2301469,6.5563172
GW,Grou-Jirnsum,NL,53.088890075684,5.8225002288818
MGZB,Günzburg,D,48.460226,10.278707
HLM,Haarlem,NL,52.38777923584,4.6383333206177
HLMS,Haarlem Spaarnwoude,NL,52.382778167725,4.6730556488037
HAGEN,Hagen Hbf,D,51.362747,7.460249
HWZB,Halfweg-Zwanenburg,NL,52.385935,4.747165
HAMM,Hamm (Westf.),D,51.678078,7.807821
HANN,Hannover Hbf,D,52.3770401,9.7416759
HDB,Hardenberg,NL,52.572776794434,6.6286110877991
HD,Harderwijk,NL,52.337501525879,5.619722366333
HBZM,Hardinxveld Blauwe Zoom,NL,51.82944,4.81556
GND,Hardinxveld-Giessendam,NL,51.830554962158,4.8358335494995
HRN,Haren,NL,53.176109313965,6.6172223091125
HLG,Harlingen,NL,53.1704205,5.4251932
HLGH,Harlingen Haven,NL,53.174917,5.4112885
FHS,Hasselt,B,50.930555,5.3275
HK,Heemskerk,NL,52.495277404785,4.6869444847107
HAD,Heemstede-Aerdenhout,NL,52.35916519165,4.6066665649414
HR,Heerenveen,NL,52.961387634277,5.9141664505005
HRY,Heerenveen IJsstadion,NL,52.935276031494,5.9438886642456
HWD,Heerhugowaard,NL,52.669723510742,4.8227777481079
HRL,Heerlen,NL,50.89083480835,5.9749999046326
HRLW,Heerlen Woonboulevard,NL,50.896667,5.952222
HZE,Heeze,NL,51.384998321533,5.5694446563721
MID,Heide (B),B,51.364828,4.4604308
HLO,Heiloo,NL,52.599445343018,4.7005553245544
HNO,Heino,NL,52.427223205566,6.2211112976074
HM,Helmond,NL,51.475555419922,5.6619443893433
HMH,Helmond 't Hout,NL,51.46794,5.63085
